20140101	2014-01-01	Wednesday	1	January	Jan	1	1	2014
20140102	2014-01-02	Thursday	1	January	Jan	1	1	2014
20140103	2014-01-03	Friday	1	January	Jan	1	1	2014
20140104	2014-01-04	Saturday	1	January	Jan	1	1	2014
20140105	2014-01-05	Sunday	2	January	Jan	1	1	2014
20140106	2014-01-06	Monday	2	January	Jan	1	1	2014
20140107	2014-01-07	Tuesday	2	January	Jan	1	1	2014
20140108	2014-01-08	Wednesday	2	January	Jan	1	1	2014
20140109	2014-01-09	Thursday	2	January	Jan	1	1	2014
20140110	2014-01-10	Friday	2	January	Jan	1	1	2014
20140111	2014-01-11	Saturday	2	January	Jan	1	1	2014
20140112	2014-01-12	Sunday	3	January	Jan	1	1	2014
20140113	2014-01-13	Monday	3	January	Jan	1	1	2014
20140114	2014-01-14	Tuesday	3	January	Jan	1	1	2014
20140115	2014-01-15	Wednesday	3	January	Jan	1	1	2014
20140116	2014-01-16	Thursday	3	January	Jan	1	1	2014
20140117	2014-01-17	Friday	3	January	Jan	1	1	2014
20140118	2014-01-18	Saturday	3	January	Jan	1	1	2014
20140119	2014-01-19	Sunday	4	January	Jan	1	1	2014
20140120	2014-01-20	Monday	4	January	Jan	1	1	2014
20140121	2014-01-21	Tuesday	4	January	Jan	1	1	2014
20140122	2014-01-22	Wednesday	4	January	Jan	1	1	2014
20140123	2014-01-23	Thursday	4	January	Jan	1	1	2014
20140124	2014-01-24	Friday	4	January	Jan	1	1	2014
20140125	2014-01-25	Saturday	4	January	Jan	1	1	2014
20140126	2014-01-26	Sunday	5	January	Jan	1	1	2014
20140127	2014-01-27	Monday	5	January	Jan	1	1	2014
20140128	2014-01-28	Tuesday	5	January	Jan	1	1	2014
20140129	2014-01-29	Wednesday	5	January	Jan	1	1	2014
20140130	2014-01-30	Thursday	5	January	Jan	1	1	2014
20140131	2014-01-31	Friday	5	January	Jan	1	1	2014
20140201	2014-02-01	Saturday	5	February	Feb	2	1	2014
20140202	2014-02-02	Sunday	6	February	Feb	2	1	2014
20140203	2014-02-03	Monday	6	February	Feb	2	1	2014
20140204	2014-02-04	Tuesday	6	February	Feb	2	1	2014
20140205	2014-02-05	Wednesday	6	February	Feb	2	1	2014
20140206	2014-02-06	Thursday	6	February	Feb	2	1	2014
20140207	2014-02-07	Friday	6	February	Feb	2	1	2014
20140208	2014-02-08	Saturday	6	February	Feb	2	1	2014
20140209	2014-02-09	Sunday	7	February	Feb	2	1	2014
20140210	2014-02-10	Monday	7	February	Feb	2	1	2014
20140211	2014-02-11	Tuesday	7	February	Feb	2	1	2014
20140212	2014-02-12	Wednesday	7	February	Feb	2	1	2014
20140213	2014-02-13	Thursday	7	February	Feb	2	1	2014
20140214	2014-02-14	Friday	7	February	Feb	2	1	2014
20140215	2014-02-15	Saturday	7	February	Feb	2	1	2014
20140216	2014-02-16	Sunday	8	February	Feb	2	1	2014
20140217	2014-02-17	Monday	8	February	Feb	2	1	2014
20140218	2014-02-18	Tuesday	8	February	Feb	2	1	2014
20140219	2014-02-19	Wednesday	8	February	Feb	2	1	2014
20140220	2014-02-20	Thursday	8	February	Feb	2	1	2014
20140221	2014-02-21	Friday	8	February	Feb	2	1	2014
20140222	2014-02-22	Saturday	8	February	Feb	2	1	2014
20140223	2014-02-23	Sunday	9	February	Feb	2	1	2014
20140224	2014-02-24	Monday	9	February	Feb	2	1	2014
20140225	2014-02-25	Tuesday	9	February	Feb	2	1	2014
20140226	2014-02-26	Wednesday	9	February	Feb	2	1	2014
20140227	2014-02-27	Thursday	9	February	Feb	2	1	2014
20140228	2014-02-28	Friday	9	February	Feb	2	1	2014
20140301	2014-03-01	Saturday	9	March	Mar	3	1	2014
20140302	2014-03-02	Sunday	10	March	Mar	3	1	2014
20140303	2014-03-03	Monday	10	March	Mar	3	1	2014
20140304	2014-03-04	Tuesday	10	March	Mar	3	1	2014
20140305	2014-03-05	Wednesday	10	March	Mar	3	1	2014
20140306	2014-03-06	Thursday	10	March	Mar	3	1	2014
20140307	2014-03-07	Friday	10	March	Mar	3	1	2014
20140308	2014-03-08	Saturday	10	March	Mar	3	1	2014
20140309	2014-03-09	Sunday	11	March	Mar	3	1	2014
20140310	2014-03-10	Monday	11	March	Mar	3	1	2014
20140311	2014-03-11	Tuesday	11	March	Mar	3	1	2014
20140312	2014-03-12	Wednesday	11	March	Mar	3	1	2014
20140313	2014-03-13	Thursday	11	March	Mar	3	1	2014
20140314	2014-03-14	Friday	11	March	Mar	3	1	2014
20140315	2014-03-15	Saturday	11	March	Mar	3	1	2014
20140316	2014-03-16	Sunday	12	March	Mar	3	1	2014
20140317	2014-03-17	Monday	12	March	Mar	3	1	2014
20140318	2014-03-18	Tuesday	12	March	Mar	3	1	2014
20140319	2014-03-19	Wednesday	12	March	Mar	3	1	2014
20140320	2014-03-20	Thursday	12	March	Mar	3	1	2014
20140321	2014-03-21	Friday	12	March	Mar	3	1	2014
20140322	2014-03-22	Saturday	12	March	Mar	3	1	2014
20140323	2014-03-23	Sunday	13	March	Mar	3	1	2014
20140324	2014-03-24	Monday	13	March	Mar	3	1	2014
20140325	2014-03-25	Tuesday	13	March	Mar	3	1	2014
20140326	2014-03-26	Wednesday	13	March	Mar	3	1	2014
20140327	2014-03-27	Thursday	13	March	Mar	3	1	2014
20140328	2014-03-28	Friday	13	March	Mar	3	1	2014
20140329	2014-03-29	Saturday	13	March	Mar	3	1	2014
20140330	2014-03-30	Sunday	14	March	Mar	3	1	2014
20140331	2014-03-31	Monday	14	March	Mar	3	1	2014
20140401	2014-04-01	Tuesday	14	April	Apr	4	2	2014
20140402	2014-04-02	Wednesday	14	April	Apr	4	2	2014
20140403	2014-04-03	Thursday	14	April	Apr	4	2	2014
20140404	2014-04-04	Friday	14	April	Apr	4	2	2014
20140405	2014-04-05	Saturday	14	April	Apr	4	2	2014
20140406	2014-04-06	Sunday	15	April	Apr	4	2	2014
